ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"162.241.183.234","elite","AS19871","US","Network Solutions, LLC","93","Unified Layer","46900","socks4","1796","2","2024-05-31T13:33:59.298Z","100","310","310"
"188.72.6.98","elite","AS39216","IQ","AL-SARD FIBER Co. for Internet Fiber and Optical Cable Services /Ltd.","71","CellNet ltd","50321","socks4","2586","2","2024-05-31T13:33:59.207Z","95","6809","7200"
"109.238.219.241","elite","AS48574","CZ","PLANET","98","Planet A, a.s.","4153","socks4","463","1","2024-05-31T13:33:31.301Z","100","435","435"
"5.42.81.185","elite","AS210644","SE","Aeza International LTD","80","Aeza Group LLC","3382","socks4","450","1","2024-05-31T13:33:31.898Z","100","477","478"
"192.3.127.220","elite","AS36352","US","ColoCrossing","137","RackNerd LLC","45776","socks5","3497","82","2024-05-31T13:33:31.294Z","81","5711","7077"
"185.143.234.28","elite","AS205585","IR","Noyan Abr Arvan Co. ( Private Joint Stock)","79","Anycast","8080","socks4","66","1","2024-05-31T13:33:31.297Z","98","6809","6966"
"1.2.209.194","elite","AS23969","TH","TOT Public Company Limited","275","TOT Public Company Limited","4145","socks4","349","1","2024-05-31T13:33:31.593Z","72","5153","7163"
"193.40.176.50","elite","AS3221","EE","Haridus- ja Teadusministeerium","38","Jarvamaa KHK","4153","socks4","2025","3","2024-05-31T13:33:31.895Z","97","6883","7096"
"197.234.13.49","elite","AS36902","SC","Intelvision","169","Intelvision Ltd","4145","socks4","72","1","2024-05-31T13:33:31.403Z","99","7098","7144"
"54.38.81.12","elite","AS16276","FR","OVH SAS","6","OVH","40559","socks5","2199","2","2024-05-31T13:33:14.393Z","100","353","353"
"222.74.65.84","elite","AS4134","CN","Chinanet","177","Chinanet NM","38051","socks5","68","2","2024-05-31T13:33:14.394Z","86","6190","7163"
"110.77.149.227","elite","AS131090","TH","CAT-BB","301","N/A","4153","socks4","2888","1","2024-05-31T13:33:13.702Z","98","454","464"
"104.19.120.84","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","3796","1","2024-05-31T13:33:13.693Z","100","7184","7185"
"76.81.6.107","elite","AS20001","US","Spectrum","190","Road Runner","31008","socks4","300","1","2024-05-31T13:33:13.691Z","99","464","469"
"45.112.125.54","elite","AS58369","ID","FIBERNET","260","N/A","4145","socks4","73","1","2024-05-31T13:33:13.406Z","99","7126","7226"
"45.61.188.134","elite","N/A","US","FranTech Solutions","112","N/A","44499","socks4","1910","1","2024-05-31T13:33:13.595Z","100","471","472"
"172.67.200.220","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","287","1","2024-05-31T13:33:13.405Z","100","7126","7127"
